beta,mark_model,N,trial_idx,error,error_relative
1.0,deterministic,100,0,1.2582686583148401,0.20025967670841388
1.0,deterministic,100,1,1.7626760641681116,0.2805386086821219
1.0,deterministic,100,2,1.3215835730182093,0.2103365583548968
1.0,deterministic,100,3,1.0465739409076136,0.16656741600661187
1.0,deterministic,100,4,1.0548880735980433,0.1678906513218157
1.0,deterministic,100,5,1.4237216154681605,0.22659233268853637
1.0,deterministic,100,6,1.403933350239889,0.2234429324622435
1.0,deterministic,100,7,1.1934879461871546,0.18994950615627965
1.0,deterministic,100,8,1.1525333563434046,0.1834313807403457
1.0,deterministic,100,9,0.8944357077227991,0.14235386416198123
1.0,deterministic,1000,0,0.29588491121401006,0.04709154620601628
1.0,deterministic,1000,1,0.2453244368182581,0.03904459678086114
1.0,deterministic,1000,2,0.18324786821474248,0.029164804037428476
1.0,deterministic,1000,3,0.2826131025897425,0.04497927225969445
1.0,deterministic,1000,4,0.1979902426349085,0.03151112579930941
1.0,deterministic,1000,5,0.239847485219137,0.03817291286078596
1.0,deterministic,1000,6,0.21244460741151983,0.033811609402760484
1.0,deterministic,1000,7,0.25233203569521123,0.040159890781333446
1.0,deterministic,1000,8,0.25338584581484014,0.04032760987095265
1.0,deterministic,1000,9,0.2686260382281702,0.04275316182720573
1.0,deterministic,10000,0,0.07079679170717412,0.011267659355244066
1.0,deterministic,10000,1,0.06439143816103154,0.010248215676124274
1.0,deterministic,10000,2,0.06449443498720342,0.010264608130132304
1.0,deterministic,10000,3,0.0734484831439417,0.011689689154960076
1.0,deterministic,10000,4,0.0629189650165003,0.010013864296602058
1.0,deterministic,10000,5,0.06915504137148076,0.01100636667399569
1.0,deterministic,10000,6,0.06351644197572881,0.01010895570804679
1.0,deterministic,10000,7,0.06706458726991826,0.01067366057042529
1.0,deterministic,10000,8,0.06811792055238897,0.010841303769053715
1.0,deterministic,10000,9,0.06944638887514287,0.011052736069360998
1.0,deterministic,30000,0,0.04046470323671514,0.006440157540869831
1.0,deterministic,30000,1,0.04115754762758428,0.006550427150470148
1.0,deterministic,30000,2,0.041822258626119435,0.006656219191614568
1.0,deterministic,30000,3,0.04174405733217412,0.006643773069126989
1.0,deterministic,30000,4,0.04070455232729131,0.006478330709231124
1.0,deterministic,30000,5,0.0420306364642542,0.006689383554584518
1.0,deterministic,30000,6,0.03943473497499639,0.006276233000789525
1.0,deterministic,30000,7,0.04157764116396123,0.006617287113345495
1.0,deterministic,30000,8,0.04247409502138311,0.006759962176007984
1.0,deterministic,30000,9,0.04190189043153936,0.00666889298707448
1.0,deterministic,100000,0,0.02543050447572881,0.004047390492632808
1.0,deterministic,100000,1,0.025823895131246388,0.004110000560024592
1.0,deterministic,100000,2,0.025468174611226857,0.004053385880904264
1.0,deterministic,100000,3,0.02570993105043584,0.004091862613228669
1.0,deterministic,100000,4,0.025295082722799123,0.00402583745125188
1.0,deterministic,100000,5,0.02550679842104131,0.004059533051157276
1.0,deterministic,100000,6,0.025766674672262013,0.004100893641131241
1.0,deterministic,100000,7,0.02602702776064092,0.004142330122095986
1.0,deterministic,100000,8,0.02596599260439092,0.004132616075276412
1.0,deterministic,100000,9,0.025315109883443654,0.004029024872864552
1.0,deterministic,1000000,0,0.012236897145406544,0.001947562668798555
1.0,deterministic,1000000,1,0.012257877980367482,0.0019509018723927836
1.0,deterministic,1000000,2,0.012204472218648732,0.0019424020814256566
1.0,deterministic,1000000,3,0.012292210255758107,0.001956366023728794
1.0,deterministic,1000000,4,0.012342754994527638,0.0019644104687512533
1.0,deterministic,1000000,5,0.012144390736715138,0.0019328398165876389
1.0,deterministic,1000000,6,0.012177769337789357,0.0019381521859420932
1.0,deterministic,1000000,7,0.01222259203066045,0.0019452859390752175
1.0,deterministic,1000000,8,0.012250725422994435,0.0019497635075311148
1.0,deterministic,1000000,9,0.012163464223043263,0.0019358754562187556
0.5,localized-cusp,100,0,1.1698957708111708,0.2792920422403514
0.5,localized-cusp,100,1,0.10188901688966201,0.024324211027144983
0.5,localized-cusp,100,2,1.1100310113659804,0.2650003836662875
0.5,localized-cusp,100,3,0.976769330762953,0.23318650087722975
0.5,localized-cusp,100,4,0.9723004129162733,0.23211962532887376
0.5,localized-cusp,100,5,0.6477268960705702,0.15463340592480243
0.5,localized-cusp,100,6,0.763230684064955,0.18220790413251942
0.5,localized-cusp,100,7,0.9551690843335097,0.22802982189035628
0.5,localized-cusp,100,8,0.8431805398693983,0.20129452625866154
0.5,localized-cusp,100,9,0.9033774163952772,0.2156654719453407
0.5,localized-cusp,1000,0,0.001011011339097756,0.0002413611782090464
0.5,localized-cusp,1000,1,0.04786407682982041,0.011426706635994262
0.5,localized-cusp,1000,2,0.06278932359132217,0.014989846834433223
0.5,localized-cusp,1000,3,0.22683871056947158,0.05415375310758475
0.5,localized-cusp,1000,4,0.22804010178956435,0.05444056413448221
0.5,localized-cusp,1000,5,0.20682657029542373,0.049376206537890086
0.5,localized-cusp,1000,6,0.07421863343629287,0.01771839357136715
0.5,localized-cusp,1000,7,0.12123691771116807,0.02894318210843663
0.5,localized-cusp,1000,8,0.2874826219311659,0.06863142050004536
0.5,localized-cusp,1000,9,0.1825011995068495,0.04356895203257291
0.5,localized-cusp,10000,0,0.007721784376234275,0.0018434402294511792
0.5,localized-cusp,10000,1,0.009318712019056541,0.0022246786216240577
0.5,localized-cusp,10000,2,0.003845331407457131,0.0009180052519849763
0.5,localized-cusp,10000,3,0.05064428117188857,0.01209043153176281
0.5,localized-cusp,10000,4,0.18619001176270888,0.04444959108955989
0.5,localized-cusp,10000,5,0.074725988172621,0.017839515592648708
0.5,localized-cusp,10000,6,0.11114728715333388,0.02653446024256111
0.5,localized-cusp,10000,7,0.11609161164674209,0.02771483076762548
0.5,localized-cusp,10000,8,0.02300441529664443,0.005491899611099658
0.5,localized-cusp,10000,9,0.11032235886964248,0.026337523121492408
0.5,localized-cusp,30000,0,0.0426219728222792,0.010175246488491234
0.5,localized-cusp,30000,1,0.039289357923597557,0.009379643286670916
0.5,localized-cusp,30000,2,0.024100663923353416,0.005753609692797312
0.5,localized-cusp,30000,3,0.03094041612061904,0.007386480250375028
0.5,localized-cusp,30000,4,0.0168808725109999,0.004030011455744595
0.5,localized-cusp,30000,5,0.015300157331556541,0.00365264350410139
0.5,localized-cusp,30000,6,0.04388320710572646,0.010476343994402629
0.5,localized-cusp,30000,7,0.0107926156750624,0.0025765472003658812
0.5,localized-cusp,30000,8,0.03376281526002334,0.008060278411996786
