cell,label,use_unit_coherence,redistribute,remove_dead,n_steps,n_completed,blow_up,blow_up_kind,final_pos_max_abs,P_initial,P_final,P_target,P_error,V_initial,V_final,V_err_pct,time_step
cell1_none,"none ($q\equiv1$, no redist, no dead)",True,False,False,5000,9,True,early-LU,19848.858435370406,8.358097783228263,5699.478583894686,5.571655139902982,5693.906928754784,2.4703505849600784,-629540.5540172006,25483954.714790378,1e-05
cell2_coh,$+$coh,False,False,False,5000,12,True,early-LU,21964.95249425045,8.358097783228263,7285.093098805898,5.571655139902982,7279.521443665995,2.4703505849600784,-119313.56910265912,4829923.338803033,1e-05
cell3_coh_redist,$+$coh $+$redist,False,True,False,5000,5000,True,silent-divergence,483.79233983898223,8.358097783228263,5.594974050145982,5.571655139902982,0.023318910242999813,2.4703505849600784,2.5419540631109454,2.89851483375685,1e-05
cell4_full,full ($+$ dead removal),False,True,True,5000,5000,False,none,0.9165740836243589,8.358097783228263,5.5450520506621395,5.571655139902982,0.02660308924084287,2.4703505849600784,2.443904897779129,1.0705236472084256,1e-05
cell5_full_no_coh,full $-$ coh ($q\equiv1$),True,True,True,5000,5000,False,none,2.5123415522917223,8.358097783228263,6.1906174095782855,5.571655139902982,0.6189622696753032,2.4703505849600784,2.392451807951783,3.153349062378292,1e-05
