beta,mark_model,N,trial_idx,error,error_relative
0.5,localized-cusp,30000,9,0.019625070356458885,0.004685140433634985
0.5,localized-cusp,100000,0,0.027379396223158103,0.006536349371680774
0.5,localized-cusp,100000,1,0.01905048158082412,0.0045479674678038946
0.5,localized-cusp,100000,2,0.018350961469740135,0.004380969342597083
0.5,localized-cusp,100000,3,0.02303922440919326,0.0055002096745898395
0.5,localized-cusp,100000,4,0.019681813978285057,0.004698686975488843
0.5,localized-cusp,100000,5,0.011559846662611228,0.0027597101066083895
0.5,localized-cusp,100000,6,0.0013340738049452128,0.00031848666075966545
0.5,localized-cusp,100000,7,0.04386461045655654,0.01047190437144212
0.5,localized-cusp,100000,8,0.021077993177503807,0.005032000206985465
0.5,localized-cusp,100000,9,0.034006479047865135,0.00811844885642806
0.5,localized-cusp,1000000,0,0.01394355561646865,0.003328778700956619
0.5,localized-cusp,1000000,1,0.014534833692640525,0.003469935943803549
0.5,localized-cusp,1000000,2,0.018127801679701072,0.004327693867070984
0.5,localized-cusp,1000000,3,0.011835935377210838,0.0028256214320990128
0.5,localized-cusp,1000000,4,0.004931810163587791,0.001177382948888769
0.5,localized-cusp,1000000,5,0.008127572797865135,0.0019403150791791933
0.5,localized-cusp,1000000,6,0.014653566145033103,0.003498281228859102
0.5,localized-cusp,1000000,7,0.008011701368421775,0.0019126528130406417
0.5,localized-cusp,1000000,8,0.013115289472669822,0.0031310447244847495
0.5,localized-cusp,1000000,9,0.013206365369886619,0.0031527874933426235
